locus_tag	gene_name	old_locus_tag	prokka_locus_tag	synonyms	start	end	strand	gene_product	gene_product_prokka	COG	uniprot	refseq
SACI_RS00005	cdc6_3	Saci_0001			101.0	1261.0	+	AAA family ATPase		"Replication, recombination and repair"	A0A0U3H3T6	NC_007181.1
SACI_RS00010	Saci_0002	Saci_0002	Sacid_00002		1294.0	1629.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FP71	NC_007181.1
SACI_RS00015	Saci_0003	Saci_0003	Sacid_00003		1665.0	2504.0	+	hypothetical protein	hypothetical protein	Function unknown	A0A0U2NAH6	NC_007181.1
SACI_RS00020	Saci_0004	Saci_0004	Sacid_00004		2553.0	3056.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HCE5	NC_007181.1
SACI_RS00025	Saci_0005	Saci_0005	Sacid_00005		3049.0	3768.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FGW8	NC_007181.1
SACI_RS00030	Saci_0006	Saci_0006	Sacid_00006		3801.0	4052.0	-	winged helix-turn-helix transcriptional regulator	hypothetical protein	Transcription	A0A0U3F8V4	NC_007181.1
SACI_RS11965	Saci_0007	Saci_0007	Sacid_00007		4138.0	4419.0	-	hypothetical protein	hypothetical protein	No COG annotation	UPI000782E83E	NC_007181.1
SACI_RS00035	ramA	Saci_0008	Sacid_00008		4456.0	5271.0	-	amidohydrolase	(R)-stereoselective amidase	Function unknown	A0A0U3GLD2	NC_007181.1
SACI_RS00040	nadE	Saci_0009	Sacid_00009		5262.0	6101.0	-	NAD+ synthase	NH(3)-dependent NAD(+) synthetase	Coenzyme transport and metabolism	A0A0U3H6P7	NC_007181.1
SACI_RS00045	Saci_0010	Saci_0010	Sacid_00010		6117.0	7601.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U2W771	NC_007181.1
SACI_RS00050	Saci_0011	Saci_0011	Sacid_00011		7727.0	8245.0	-	NTPase	Nucleoside-triphosphatase THEP1	Nucleotide transport and metabolism	A0A0U3GMM1	NC_007181.1
SACI_RS00055	Saci_0012	Saci_0012	Sacid_00012		8367.0	9035.0	+	chlorite dismutase family protein	hypothetical protein	Function unknown	A0A0U2X1L2	NC_007181.1
SACI_RS00060	nudF	Saci_0013	Sacid_00013		8989.0	9516.0	-	NUDIX hydrolase	ADP-ribose pyrophosphatase	"Replication, recombination and repair"	A0A0U2Y9R3	NC_007181.1
SACI_RS00065	Saci_0014	Saci_0014	Sacid_00014		9521.0	10129.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3HBG1	NC_007181.1
SACI_RS00070	nfo	Saci_0015	Sacid_00015		10199.0	11032.0	+	TIM barrel protein	endonuclease 4	Carbohydrate transport and metabolism	A0A0U3GHG1	NC_007181.1
SACI_RS00075	Saci_0016	Saci_0016	Sacid_00016		11025.0	11702.0	+	phosphoglycolate phosphatase	hypothetical protein	Function unknown	A0A0U2VWY0	NC_007181.1
SACI_RS00080	Saci_0017	Saci_0017	Sacid_00017		11673.0	12182.0	-	methyltransferase domain-containing protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	UPI0009B59A0C	NC_007181.1
SACI_RS00085	gph_1	Saci_0018	Sacid_00018		12269.0	12931.0	-	HAD family hydrolase	Phosphoglycolate phosphatase	Function unknown	A0A0U3HMZ9	NC_007181.1
SACI_RS00090	Saci_0019	Saci_0019	Sacid_00019		12928.0	13242.0	-	transcriptional regulator	hypothetical protein	Transcription	A0A0U3FPJ0	NC_007181.1
