locus_tag	gene_name	old_locus_tag	prokka_locus_tag	synonyms	start	end	strand	gene_product	gene_product_prokka	COG	uniprot	accession	operon
SACI_RS00005	cdc6-3	Saci_0001			101	1261	+	ORC1-type DNA replication protein 3 (AAA family ATPase)		Replication, recombination and repair	A0A0U3H3T6	NC_007181.1	Op0
SACI_RS00010	Saci_0002	Saci_0002	Sacid_00002		1294	1629	+	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3FP71	NC_007181.1	Op0
SACI_RS00015	Saci_0003	Saci_0003	Sacid_00003		1665	2504	+	hypothetical protein	hypothetical protein	Function Unknown	A0A0U2NAH6	NC_007181.1	Op0
SACI_RS00020	Saci_0004	Saci_0004	Sacid_00004		2553	3056	-	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3HCE5	NC_007181.1	Op1
SACI_RS00025	Saci_0005	Saci_0005	Sacid_00005		3049	3768	-	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3FGW8	NC_007181.1	Op1
SACI_RS00030	Saci_0006	Saci_0006	Sacid_00006		3801	4052	-	winged helix-turn-helix transcriptional regulator	hypothetical protein	Transcription	A0A0U3F8V4	NC_007181.1	Op1
SACI_RS11965	Saci_0007	Saci_0007	Sacid_00007		4138	4419	-	hypothetical protein	hypothetical protein	No arCOG annotation	UPI000782E83E	NC_007181.1	Op2
SACI_RS00035	ramA	Saci_0008	Sacid_00008		4456	5271	-	amidohydrolase	(R)-stereoselective amidase	General Function Prediction Only	A0A0U3GLD2	NC_007181.1	Op2
SACI_RS00040	nadE	Saci_0009	Sacid_00009		5262	6101	-	NAD+ synthase	NH(3)-dependent NAD(+) synthetase	Coenzyme transport and metabolism	A0A0U3H6P7	NC_007181.1	Op2
SACI_RS00045	Saci_0010	Saci_0010	Sacid_00010		6117	7601	-	hypothetical protein	hypothetical protein	Function Unknown	A0A0U2W771	NC_007181.1	Op2
SACI_RS00050	Saci_0011	Saci_0011	Sacid_00011		7727	8245	-	NTPase	Nucleoside-triphosphatase THEP1	Nucleotide transport and metabolism	A0A0U3GMM1	NC_007181.1	Op3
SACI_RS00055	Saci_0012	Saci_0012	Sacid_00012		8367	9035	+	chlorite dismutase family protein	hypothetical protein	General Function Prediction Only	A0A0U2X1L2	NC_007181.1	Op4
SACI_RS00060	nudF	Saci_0013	Sacid_00013		8989	9516	-	NUDIX hydrolase	ADP-ribose pyrophosphatase	Replication, recombination and repair	A0A0U2Y9R3	NC_007181.1	Op5
SACI_RS00065	Saci_0014	Saci_0014	Sacid_00014		9521	10129	-	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3HBG1	NC_007181.1	Op5
SACI_RS00070	nfo	Saci_0015	Sacid_00015		10199	11032	+	endonuclease 4	endonuclease 4	Replication, recombination and repair	A0A0U3GHG1	NC_007181.1	Op6
SACI_RS00075	Saci_0016	Saci_0016	Sacid_00016		11025	11702	+	phosphoglycolate phosphatase (putative TPP gene involved in trehalose synthesis)	hypothetical protein	General Function Prediction Only	A0A0U2VWY0	NC_007181.1	Op6
SACI_RS00080	Saci_0017	Saci_0017	Sacid_00017		11673	12182	-	methyltransferase domain-containing protein	hypothetical protein	Translation, ribosomal structure and biogenesis	UPI0009B59A0C	NC_007181.1	Op7
SACI_RS00085	gph_1	Saci_0018	Sacid_00018		12269	12931	-	HAD family hydrolase	Phosphoglycolate phosphatase	General Function Prediction Only	A0A0U3HMZ9	NC_007181.1	Op8
SACI_RS00090	Saci_0019	Saci_0019	Sacid_00019		12928	13242	-	transcriptional regulator	hypothetical protein	Transcription	A0A0U3FPJ0	NC_007181.1	Op8
SACI_RS00095	Saci_0020	Saci_0020	Sacid_00020		13239	14261	-	UPF0284 protein (TIGR00303 family protein)	hypothetical protein	Coenzyme transport and metabolism	A0A0U3H3Q8	NC_007181.1	Op8
SACI_RS00100	Saci_0022	Saci_0022	Sacid_00021		14302	14658	+	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3GUC4	NC_007181.1	Op9
SACI_RS00105	nadA	Saci_0023	Sacid_00022		14685	15683	+	quinolinate synthase NadA	Quinolinate synthase A	Coenzyme transport and metabolism	UPI0000552108	NC_007181.1	Op9
SACI_RS00110	kynu	Saci_0024	Sacid_00023		15604	16728	-	Selenocysteine lyase, aminotransferase class V-fold PLP-dependent enzyme	Kynureninase	Posttranslational modification, protein turnover, chaperones	A0A0U3FP60	NC_007181.1	Op10
SACI_RS00115	acs	Saci_0025	Sacid_00024		16715	18421	-	AMP-binding protein	Acetyl-coenzyme A synthetase	Lipid transport and metabolism	A0A0U2NAH0	NC_007181.1	Op10
SACI_RS00120	Saci_0026	Saci_0026	Sacid_00025		18433	18909	-	NOB1 family endonuclease	hypothetical protein	Defense mechanisms	A0A0U3HFG5	NC_007181.1	Op10
SACI_RS00125	nadK	Saci_0027	Sacid_00026		18899	19645	-	NAD(+)/NADH kinase	NAD kinase	Coenzyme transport and metabolism	A0A0U3FGV3	NC_007181.1	Op10
SACI_RS00130	Saci_0028	Saci_0028	Sacid_00027		19654	20007	-	hypothetical protein	hypothetical protein	Function Unknown	A0A0U3F8U1	NC_007181.1	Op10
SACI_RS00135	Saci_0029	Saci_0029	Sacid_00028		20087	21088	+	NAD(P)/FAD-dependent oxidoreductase, Ferredoxin--NADP reductase 1	Ferredoxin--NADP reductase	Posttranslational modification, protein turnover, chaperones	A0A0U3FYH3	NC_007181.1	Op11
